id,niveau,dimension,question,objectif,tip,tags_theme,tags_filtre,icon_tag
98,1,protéger,Pourquoi la protection de l’environnement est-elle importante pour la santé humaine ?,Comprendre le lien entre protection environnementale et santé.,"Parce que la pollution de l’air, de l’eau ou des sols peut entraîner des maladies respiratoires, des cancers, des infections hydriques, etc. On peut voir l’environnement comme notre « maison commune » : si elle est en mauvais état, notre santé en pâtit.","[""Protection environnement"",""Santé"",""Pollution""]",,responsabilite_environnementale
99,2,comprendre,Comment se forme un nuage ?,Expliquer le processus de formation des nuages.,"L’air chaud et humide monte, se refroidit, la vapeur d’eau se condense autour de particules en suspension (poussière, sel…) et forme des gouttelettes ou des cristaux, ce qui crée un nuage.","[""Nuages"",""Formation""]",,phenomenes_physiques
100,2,comprendre,Pourquoi l’air qui monte dans l’atmosphère favorise-t-il la formation de nuages ?,Détailler le rôle de l'air ascendant dans la nébulosité.,"Parce que lorsqu’il monte, l’air se refroidit, ne peut plus contenir autant de vapeur d’eau, et la vapeur se condense pour former des gouttelettes ou des cristaux => nuage.","[""Nuages"",""Atmosphère""]",,phenomenes_physiques
101,2,comprendre,Pourquoi les nuages sont-ils souvent utilisés comme indicateurs de changement météo ?,Identifier l'utilité des nuages comme indicateurs météorologiques.,"Parce que certains types de nuages se forment dans des conditions spécifiques : par exemple, un voile de cirrostratus peut annoncer un front chaud, des cumulus verticaux une instabilité, un ciel entièrement stratus un temps stable mais couvert. Le type + altitude + forme peuvent donc être des signaux","[""Nuages"",""Météo"",""Prévisions""]",,phenomenes_physiques
102,2,comprendre,"Qu’est-ce qu’un vent local tel que la brise de mer et de terre, et comment se forme-t-il ?",Expliquer la formation des vents locaux (brises).,"Un vent local comme la brise de mer se forme parce que la terre se réchauffe plus vite que l’eau : l’air au-dessus de la terre monte, créant une basse pression, et l’air plus frais venant de la mer se déplace vers la terre. La nuit, la situation s’inverse avec la brise de terre vers la mer.","[""Vent"",""Brise"",""Météo locale""]",,phenomenes_physiques
103,2,comprendre,Pourquoi est-il important de tenir compte des migrations pour la gestion des zones naturelles en Normandie ?,Comprendre l'impact des migrations sur la gestion des zones naturelles.,"Parce que les zones d’escale ou d’hivernage doivent être protégées (zones humides, littoraux), car la perturbation ou destruction de ces milieux peut compromettre le succès migratoire des espèces","[""Migrations"",""Biodiversité"",""Gestion zones naturelles""]",,vie_marine_littoral
104,2,comprendre,Quels sont les trois principaux facteurs qui déterminent la taille d’une houle (ou vague générée) ?,Identifier les facteurs influençant la taille de la houle.,"La vitesse du vent, la durée pendant laquelle il souffle, et la distance non interrompue sur laquelle il souffle (fetch) : c’est-à-dire la surface d’eau sur laquelle le vent agit sans interruption","[""Houle"",""Vagues"",""Facteurs""]",,phenomenes_physiques
105,2,observer,Pourquoi est-il utile de vérifier la direction du vent et celle de la houle ?,Comprendre l'importance de la direction du vent et de la houle pour la sécurité.,"Parce que le vent peut générer des vagues ou accentuer la houle. Si le vent souffle contre la direction de la houle, la mer se « dérange », avec des vagues plus courtes, hachées et donc dangereuses.","[""Vent"",""Houle"",""Sécurité nautique""]",,navigation_securite
106,2,observer,Que faut-il observer concernant la marée ou le courant avant une activité nautique ?,Identifier les points d'observation essentiels pour la marée et les courants.,"Vérifier l’heure de haute/basse mer, l’amplitude, et identifier les zones de courant fort ou « ressac » potentiels","[""Marées"",""Courants"",""Sécurité nautique""]",,navigation_securite
107,2,observer,Pourquoi l’observation de l’état de la mer est-elle incontournable pour la sécurité nautique ?,Expliquer le rôle de l'observation marine pour la sécurité.,"Parce qu’elle permet d’évaluer le niveau de risque (vagues, houle, courant, vent), d’adapter le matériel, de choisir un bon itinéraire ou de reporter si nécessaire. L’ignorance peut conduire à des situations dangereuses","[""État de la mer"",""Sécurité nautique""]",,navigation_securite
108,2,observer,Qu’est-ce que la « période » d’une houle ?,Définir la période d'une houle.,La période est le temps (exprimé en secondes) entre le passage de deux crêtes consécutives d’onde à un même point fixe. Les houles ont typiquement des périodes plus longues que les vagues de vent,"[""Houle"",""Vagues"",""Terminologie""]",,phenomenes_physiques
109,2,protéger,Quelle est la relation entre protection de l’environnement et « ressources naturelles » ?,Comprendre le lien entre protection et gestion des ressources naturelles.,"La protection de l’environnement implique de gérer durablement les ressources naturelles (eau, forêts, sols, biodiversité) afin qu’elles puissent satisfaire les besoins actuels **et futurs** sans s’épuiser","[""Protection environnement"",""Ressources naturelles"",""Développement durable""]",,responsabilite_environnementale
110,2,protéger,Pourquoi la gestion des déchets plastiques est-elle un enjeu majeur ?,Expliquer l'importance de la gestion des déchets plastiques.,"Parce que les plastiques non recyclés polluent l’eau, les sols, et les écosystèmes, en particulier marins","[""Déchets plastiques"",""Pollution marine"",""Environnement""]",,responsabilite_environnementale
111,2,protéger,Pourquoi le littoral normand est-il considéré comme « un territoire à forts enjeux de biodiversité » ?,Identifier les raisons de la richesse de la biodiversité du littoral normand.,"Parce qu’il combine **entre mer, littoral, plaine et bocage** un ensemble de milieux diversifiés qui se trouvent dans un état d’équilibre fragile entre usages humains et nature","[""Biodiversité"",""Littoral normand"",""Enjeux environnementaux""]",,vie_marine_littoral
112,2,protéger,Quel réseau de protection existe en Normandie pour les milieux naturels incluant des parties marines ?,Connaître les dispositifs de protection marine en Normandie.,Le réseau **Natura 2000** compte en Normandie 94 sites dont **34 sites avec une partie marine**. Ces zones contribuent à protéger des habitats et des espèces marines ou littorales.,"[""Protection marine"",""Natura 2000"",""Normandie""]",,responsabilite_environnementale
113,4,comprendre,Comment la topographie côtière ou la configuration locale peuvent-elles affecter l’état de la mer ?,Expliquer l'influence de la géographie côtière sur l'état de la mer.,"Une baie fermée ou un cap exposé modifient la façon dont la houle entre, les courants, et la vitesse du vent. Une pente douce ou un récif proche peuvent amplifier les vagues","[""État de la mer"",""Topographie côtière"",""Phénomènes physiques""]",,phenomenes_physiques
114,4,comprendre,Quels sont les trois critères principaux pour classer les nuages ?,Détailler les critères de classification des nuages.,"Le **niveau d’altitude** (bas, moyen, haut), la **forme** (cumulo- : en amas, strato- : en couches, cirro- : élevé/filamenteux) et la **capacité de précipitation** (par exemple les « nimbus »). Connaître ces critères permet d’identifier rapidement un type de nuage","[""Nuages"",""Classification""]",,phenomenes_physiques
115,4,comprendre,Quel type de nuage indique souvent des orages ou des conditions instables ?,Identifier le nuage annonciateur d'orages.,"Le nuage Cumulonimbus : développement vertical important, capable de produire pluie intense, grêle, tonnerre.","[""Nuages"",""Orages"",""Météo""]",,phenomenes_physiques
116,4,comprendre,Qu’est-ce que « la phénologie de la migration » et comment celle-ci évolue en Normandie ?,Définir la phénologie de la migration et son évolution en Normandie.,"La phénologie de la migration désigne le moment (date) auquel les oiseaux migrateurs commencent ou terminent leur migration. En Normandie, par exemple, certaines hirondelles et martinets arrivent ~18 jours plus tôt qu’il y a 50 ans","[""Migrations"",""Oiseaux migrateurs"",""Phénologie""]",,vie_marine_littoral
117,4,comprendre,Comment le changement climatique peut-il influencer les migrations d’oiseaux en Normandie ?,Expliquer l'impact du changement climatique sur les migrations.,"Il peut modifier les dates de départ ou d’arrivée (phénologie), la répartition des espèces, ou la durée d’hivernage. Exemple : les hirondelles arrivent plus tôt.","[""Changement climatique"",""Migrations"",""Oiseaux migrateurs""]",,vie_marine_littoral
118,4,comprendre,Quel est le rôle des courants marins dans la distribution des nutriments dans l’océan ?,Comprendre l'importance des courants marins pour les nutriments.,"Les courants transportent de l’eau riche en nutriments depuis les profondeurs ou les zones fertiles vers la surface ou vers d’autres régions, permettant à la chaîne alimentaire de prospérer","[""Courants marins"",""Nutriments"",""Océanographie""]",,phenomenes_physiques
119,4,comprendre,Quels sont les trois grands facteurs qui entraînent les courants de surface ?,Identifier les facteurs moteurs des courants de surface.,"Le vent, la rotation de la Terre (effet de Coriolis) et la forme des côtes / fonds marins","[""Courants marins"",""Facteurs"",""Océanographie""]",,phenomenes_physiques
120,1,OBSERVER,Avant de s’engager sur l’eau quel comportement d’observation est recommandé ?,Décrire le protocole d'observation pré-activité nautique.,"Prendre quelques minutes pour observer : la mer depuis le rivage, noter la fréquence des vagues grandes (sets), voir où elles cassent, identifier zones plus calmes (canaux), et vérifier que les conditions correspondent à ce que vous pouvez gérer","[""Observation"",""Sécurité nautique"",""Préparation"",""lecture_paysage"",""reperes_spatio_temporels""]","[""outils"",""courant"",""coefficient"",""vocabulaire"",""marée""]",phenomenes_physiques
121,4,observer,Quelle alerte visuelle peut indiquer une montée rapide du vent ou un changement de conditions maritimes ?,Identifier les signes visuels d'un changement rapide des conditions maritimes.,"Par exemple : drapeaux qui se dressent, mousse étendue à la surface, nuages d’orage qui arrivent, diminution soudaine de visibilité. Ces signes indiquent de renforcer la vigilance ou de différer la sortie","[""Alertes météo"",""Sécurité nautique"",""Observation""]",,navigation_securite
122,4,observer,Quelle différence principale existe entre une houle et une vague de vent  ?,Distinguer houle et vague de vent.,"Une vague de vent est générée localement par le vent soufflant à proximité / dans la même zone, alors qu’une houle a voyagé hors de la zone de génération, le vent local ne la contrôle plus directement. **Commentaire** : On peut souvent reconnaître une houle à ses longues périodes d’onde et sa régularité.","[""Houle"",""Vagues"",""Différences""]",,phenomenes_physiques
123,4,observer,Quel rôle joue l’orientation (direction) de la houle pour une plage ou un spot côtier ?,Comprendre l'influence de l'orientation de la houle.,"L’angle d’arrivée de la houle par rapport à la côte influence comment les vagues vont « prendre » la côte : une houle bien orientée face au littoral aura plus de potentiel pour produire de bonnes vagues, tandis qu’une houle venant de travers peut être moins efficace ou dégradée","[""Houle"",""Vagues"",""Orientation""]",,phenomenes_physiques
124,4,observer,Pourquoi est-il utile de connaître les conditions de houle avant une activité nautique ou littorale ?,Expliquer l'importance de connaître les conditions de houle.,"Parce que la houle influence la hauteur des vagues, la période, l’énergie transmise, le moment d’arrivée des séries de vagues, et donc la sécurité (ex : pour baignade, surf, navigation) et l’érosion côtière. Même par vent calme, une grande houle lointaine peut provoquer des vagues puissantes ou des surcôtes","[""Houle"",""Sécurité nautique"",""Érosion côtière""]",,navigation_securite
125,4,protéger,Quel est le lien entre consommation responsable et sensibilisation à l’environnement ?,Établir le lien entre consommation responsable et sensibilisation environnementale.,"Une personne sensibilisée fait des choix plus responsables (produits durables, moins de déchets, consommation raisonnée) ce qui réduit l’impact environnemental","[""Consommation responsable"",""Sensibilisation"",""Environnement""]",,responsabilite_environnementale
126,4,protéger,Quelle est la différence entre sensibilisation et action environnementale ?,Distinguer sensibilisation et action environnementale.,"La sensibilisation concerne la prise de conscience et l’information ; l’action est l’application concrète (changer des habitudes, participer à des initiatives).","[""Sensibilisation"",""Action environnementale""]",,responsabilite_environnementale
127,4,protéger,Pourquoi dit-on parfois qu’« il n’est pas trop tard » pour agir en matière de climat et environnement ?,Expliquer l'espoir d'action face aux défis climatiques.,"Parce que même si certains effets du changement sont déjà irréversibles, la réduction des émissions, l’adaptation et les transitions vers des modes de vie plus durables peuvent limiter les risques futurs et améliorer la résilience des sociétés","[""Changement climatique"",""Action environnementale"",""Résilience""]",,responsabilite_environnementale
128,4,protéger,Pourquoi la présence de mammifères marins en Normandie est-elle un sujet de suivi et de préoccupation ?,Comprendre l'importance du suivi des mammifères marins comme indicateurs écologiques.,"Parce que ces espèces sont souvent situées au sommet de la chaîne trophique, sont sensibles aux modifications de leur milieu (pollution, bruit sous-marin, changement climatique) et leur état permet d’évaluer l’état global de l’écosystème marin. Leur suivi est donc une forme de “sentinelle” pour la biodiversité marine.","[""Mammifères marins"",""Biodiversité marine"",""Indicateurs écologiques"",""Pollution""]",,vie_marine_littoral
